WL/k 	 Spectrum 	 Mean refit
240 	 -0.8900 	 -0.8771
239 	 -1.1500 	 -1.1363
238 	 -1.4800 	 -1.4637
237 	 -1.7300 	 -1.7540
236 	 -2.1000 	 -2.1220
235 	 -2.5000 	 -2.5319
234 	 -2.9300 	 -2.9792
233 	 -3.5100 	 -3.5393
232 	 -4.1500 	 -4.1626
231 	 -4.8300 	 -4.8206
230 	 -5.4600 	 -5.4388
229 	 -6.0300 	 -6.0101
228 	 -6.5100 	 -6.5037
227 	 -6.9700 	 -6.9629
226 	 -7.3500 	 -7.3530
225 	 -7.6700 	 -7.6762
224 	 -7.8900 	 -7.8975
223 	 -8.0400 	 -8.0350
222 	 -8.0700 	 -8.0750
221 	 -8.0800 	 -8.0740
220 	 -7.9800 	 -7.9806
219 	 -7.8200 	 -7.8317
218 	 -7.6900 	 -7.6941
217 	 -7.5400 	 -7.5390
216 	 -7.4200 	 -7.4121
215 	 -7.3000 	 -7.2867
214 	 -7.2400 	 -7.2202
213 	 -7.2300 	 -7.2052
212 	 -7.3100 	 -7.2722
211 	 -7.4100 	 -7.3870
210 	 -7.5000 	 -7.5026
209 	 -7.5100 	 -7.5264
208 	 -7.3400 	 -7.3507
207 	 -6.8600 	 -6.8635
206 	 -6.0700 	 -6.0418
205 	 -4.9100 	 -4.8909
204 	 -3.4400 	 -3.4456
203 	 -1.7700 	 -1.7791
202 	 0.1800 	 0.1475
201 	 2.2900 	 2.2725
200 	 4.6500 	 4.6432
199 	 7.2000 	 7.1900
198 	 9.7200 	 9.7286
197 	 12.0800 	 12.0936
196 	 14.0100 	 14.0235
195 	 15.3800 	 15.4092
194 	 16.2800 	 16.2948
193 	 16.6900 	 16.7145
192 	 16.7500 	 16.7604
191 	 16.4300 	 16.4193
190 	 15.7100 	 15.6949
189 	 14.6800 	 14.6617
188 	 13.4400 	 13.4348
187 	 12.1600 	 12.1517
186 	 10.8900 	 10.8553
185 	 9.6000 	 9.5772
184 	 8.4200 	 8.4171
183 	 7.3600 	 7.3778
182 	 6.4700 	 6.5154
181 	 5.7700 	 5.7944
180 	 5.1500 	 5.1392
