WL/k 	 Spectrum 	 Mean refit
240 	 -0.8900 	 -0.8470
239 	 -1.1500 	 -1.1100
238 	 -1.4800 	 -1.4214
237 	 -1.7300 	 -1.7235
236 	 -2.1000 	 -2.1028
235 	 -2.5000 	 -2.5158
234 	 -2.9300 	 -2.9699
233 	 -3.5100 	 -3.5319
232 	 -4.1500 	 -4.1522
231 	 -4.8300 	 -4.8008
230 	 -5.4600 	 -5.4236
229 	 -6.0300 	 -5.9995
228 	 -6.5100 	 -6.5050
227 	 -6.9700 	 -6.9631
226 	 -7.3500 	 -7.3560
225 	 -7.6700 	 -7.6746
224 	 -7.8900 	 -7.8881
223 	 -8.0400 	 -8.0233
222 	 -8.0700 	 -8.0601
221 	 -8.0800 	 -8.0525
220 	 -7.9800 	 -7.9645
219 	 -7.8200 	 -7.8297
218 	 -7.6900 	 -7.6847
217 	 -7.5400 	 -7.5418
216 	 -7.4200 	 -7.4194
215 	 -7.3000 	 -7.3096
214 	 -7.2400 	 -7.2531
213 	 -7.2300 	 -7.2454
212 	 -7.3100 	 -7.2963
211 	 -7.4100 	 -7.3985
210 	 -7.5000 	 -7.5025
209 	 -7.5100 	 -7.5197
208 	 -7.3400 	 -7.3478
207 	 -6.8600 	 -6.8800
206 	 -6.0700 	 -6.0754
205 	 -4.9100 	 -4.9367
204 	 -3.4400 	 -3.4899
203 	 -1.7700 	 -1.8081
202 	 0.1800 	 0.1400
201 	 2.2900 	 2.2889
200 	 4.6500 	 4.6756
199 	 7.2000 	 7.2183
198 	 9.7200 	 9.7530
197 	 12.0800 	 12.0905
196 	 14.0100 	 14.0007
195 	 15.3800 	 15.3816
194 	 16.2800 	 16.2715
193 	 16.6900 	 16.6970
192 	 16.7500 	 16.7562
191 	 16.4300 	 16.4288
190 	 15.7100 	 15.7133
189 	 14.6800 	 14.6904
188 	 13.4400 	 13.4545
187 	 12.1600 	 12.1516
186 	 10.8900 	 10.8423
185 	 9.6000 	 9.5716
184 	 8.4200 	 8.4093
183 	 7.3600 	 7.3676
182 	 6.4700 	 6.4832
181 	 5.7700 	 5.7715
180 	 5.1500 	 5.1382
179 	 4.6000 	 4.5915
178 	 4.0800 	 4.0754
