WL/k 	 Spectrum 	 Mean refit
240 	 -0.8900 	 -0.8438
239 	 -1.1500 	 -1.1083
238 	 -1.4800 	 -1.4167
237 	 -1.7300 	 -1.7263
236 	 -2.1000 	 -2.1073
235 	 -2.5000 	 -2.5209
234 	 -2.9300 	 -2.9779
233 	 -3.5100 	 -3.5364
232 	 -4.1500 	 -4.1506
231 	 -4.8300 	 -4.7944
230 	 -5.4600 	 -5.4113
229 	 -6.0300 	 -5.9849
228 	 -6.5100 	 -6.4935
227 	 -6.9700 	 -6.9533
226 	 -7.3500 	 -7.3475
225 	 -7.6700 	 -7.6669
224 	 -7.8900 	 -7.8759
223 	 -8.0400 	 -8.0089
222 	 -8.0700 	 -8.0515
221 	 -8.0800 	 -8.0464
220 	 -7.9800 	 -7.9629
219 	 -7.8200 	 -7.8348
218 	 -7.6900 	 -7.6888
217 	 -7.5400 	 -7.5487
216 	 -7.4200 	 -7.4291
215 	 -7.3000 	 -7.3208
214 	 -7.2400 	 -7.2654
213 	 -7.2300 	 -7.2596
212 	 -7.3100 	 -7.3084
211 	 -7.4100 	 -7.4099
210 	 -7.5000 	 -7.5122
209 	 -7.5100 	 -7.5260
208 	 -7.3400 	 -7.3537
207 	 -6.8600 	 -6.8862
206 	 -6.0700 	 -6.0803
205 	 -4.9100 	 -4.9432
204 	 -3.4400 	 -3.4961
203 	 -1.7700 	 -1.8135
202 	 0.1800 	 0.1311
201 	 2.2900 	 2.2838
200 	 4.6500 	 4.6743
199 	 7.2000 	 7.2166
198 	 9.7200 	 9.7549
197 	 12.0800 	 12.0896
196 	 14.0100 	 13.9991
195 	 15.3800 	 15.3850
194 	 16.2800 	 16.2797
193 	 16.6900 	 16.7100
192 	 16.7500 	 16.7643
191 	 16.4300 	 16.4301
190 	 15.7100 	 15.7069
189 	 14.6800 	 14.6782
188 	 13.4400 	 13.4417
187 	 12.1600 	 12.1369
186 	 10.8900 	 10.8245
185 	 9.6000 	 9.5589
184 	 8.4200 	 8.4015
183 	 7.3600 	 7.3657
182 	 6.4700 	 6.4871
181 	 5.7700 	 5.7744
180 	 5.1500 	 5.1408
179 	 4.6000 	 4.5974
178 	 4.0800 	 4.0873
177 	 3.5900 	 3.5987
176 	 3.0900 	 3.1020
175 	 2.5100 	 2.5340
