TITLE	temp_spectrum_4
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2024/02/01
TIME	21:34:18
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-0,1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
Y3UNITS	ABSORBANCE
FIRSTX	  260,0000
LASTX	  190,0000
NPOINTS	     701
FIRSTY	    -0,50423
MAXY	    60,23861
MINY	   -29,41447
XYDATA
Channel 1
	4	6	8	9,99	12,01	14,01	16	18	20	21,99	23,99	26	28,01	30	32	34,02	35,99	38,01	39,99	42	44	46,01	48	49,98	52	54,01	56,01	57,99	59,98	62	64	66	68,01	69,99	72	74	75,99	78,01	80	82	84	86	88	90
260	-0,504228	-0,411444	-0,359429	-0,455122	-0,37347	-0,506826	-0,368451	-0,430234	-0,297451	-0,246705	-0,334382	-0,321556	-0,417809	-0,265816	-0,412576	-0,386236	-0,330775	-0,392039	-0,329856	-0,395339	-0,291245	-0,432954	-0,3193	-0,36267	-0,358517	-0,293079	-0,271379	-0,371182	-0,337554	-0,459078	-0,383414	-0,491135	-0,327638	-0,264836	-0,34301	-0,316274	-0,350945	-0,356411	-0,374554	-0,282595	-0,255213	-0,435481	-0,375254	-0,289242
259,9	-0,497999	-0,407777	-0,393841	-0,459	-0,362858	-0,462947	-0,408709	-0,38968	-0,319209	-0,27077	-0,340478	-0,274199	-0,393775	-0,252222	-0,410925	-0,391782	-0,372265	-0,367613	-0,370927	-0,414275	-0,325989	-0,504426	-0,271271	-0,335138	-0,350511	-0,272187	-0,295819	-0,34841	-0,332503	-0,441957	-0,366315	-0,468964	-0,324755	-0,272568	-0,34155	-0,320919	-0,345451	-0,290842	-0,374211	-0,275095	-0,256937	-0,433166	-0,368292	-0,299038
259,8	-0,457684	-0,368556	-0,383338	-0,494914	-0,39907	-0,431221	-0,360978	-0,379508	-0,322611	-0,267516	-0,308429	-0,239531	-0,400821	-0,262932	-0,41624	-0,378787	-0,346586	-0,325063	-0,362793	-0,388395	-0,337857	-0,484938	-0,330016	-0,284625	-0,372389	-0,259331	-0,307088	-0,304423	-0,304668	-0,438368	-0,349145	-0,455799	-0,349442	-0,251738	-0,318848	-0,343452	-0,354201	-0,241582	-0,315628	-0,285623	-0,288316	-0,401464	-0,384692	-0,325945
259,7	-0,449461	-0,396931	-0,36663	-0,475452	-0,428592	-0,421944	-0,346187	-0,339432	-0,365281	-0,307053	-0,362798	-0,240648	-0,400254	-0,276232	-0,38259	-0,377572	-0,31144	-0,327452	-0,348087	-0,395565	-0,340317	-0,472002	-0,337846	-0,276667	-0,391567	-0,245998	-0,23916	-0,271204	-0,32393	-0,3804	-0,381294	-0,436746	-0,349606	-0,260282	-0,341164	-0,301831	-0,34586	-0,257524	-0,328947	-0,291336	-0,298549	-0,449567	-0,396509	-0,32865
259,6	-0,488398	-0,409086	-0,38684	-0,450812	-0,390266	-0,397226	-0,374052	-0,33425	-0,368861	-0,275428	-0,362631	-0,228562	-0,320559	-0,291532	-0,37349	-0,395163	-0,312486	-0,304983	-0,31981	-0,354037	-0,352737	-0,44357	-0,358743	-0,278545	-0,372635	-0,300034	-0,249822	-0,265407	-0,245362	-0,33812	-0,369202	-0,477906	-0,365903	-0,279584	-0,379376	-0,307235	-0,328226	-0,310381	-0,351235	-0,340514	-0,317659	-0,46563	-0,353742	-0,350393
259,5	-0,495908	-0,41092	-0,377876	-0,414226	-0,403103	-0,390708	-0,386352	-0,319373	-0,351315	-0,287042	-0,350292	-0,207231	-0,295608	-0,293054	-0,360603	-0,376945	-0,229342	-0,250368	-0,329299	-0,307268	-0,328059	-0,403358	-0,347533	-0,305861	-0,346668	-0,28321	-0,257835	-0,244944	-0,252079	-0,337538	-0,325424	-0,447172	-0,373608	-0,268439	-0,368379	-0,34628	-0,31626	-0,272755	-0,36953	-0,358375	-0,378559	-0,426121	-0,337492	-0,34281
259,4	-0,464326	-0,444252	-0,380285	-0,445204	-0,363736	-0,350651	-0,362028	-0,288688	-0,34835	-0,356155	-0,36123	-0,212704	-0,339007	-0,327739	-0,319345	-0,341069	-0,252474	-0,260637	-0,356245	-0,292311	-0,375106	-0,352466	-0,340965	-0,314761	-0,334299	-0,285644	-0,274168	-0,272925	-0,218442	-0,324984	-0,336611	-0,449512	-0,367451	-0,271462	-0,349232	-0,404486	-0,325477	-0,26182	-0,356398	-0,345183	-0,392658	-0,410213	-0,373151	-0,407044
259,3	-0,490172	-0,447252	-0,382025	-0,408161	-0,363205	-0,341783	-0,393217	-0,273273	-0,36773	-0,369613	-0,388855	-0,204062	-0,325039	-0,369615	-0,329434	-0,347526	-0,259313	-0,22282	-0,358926	-0,269635	-0,35099	-0,313914	-0,345348	-0,348967	-0,256608	-0,28515	-0,317892	-0,267594	-0,205863	-0,274776	-0,344216	-0,438513	-0,336927	-0,275309	-0,354142	-0,377846	-0,305865	-0,279443	-0,349778	-0,354271	-0,410621	-0,388066	-0,349897	-0,392159
259,2	-0,5022	-0,436607	-0,375665	-0,370591	-0,379385	-0,301155	-0,380268	-0,316377	-0,315058	-0,373517	-0,334806	-0,252954	-0,307973	-0,364072	-0,302182	-0,394259	-0,258109	-0,223169	-0,393102	-0,220882	-0,332358	-0,311956	-0,336047	-0,355953	-0,224129	-0,302958	-0,315008	-0,263616	-0,203548	-0,263131	-0,357755	-0,445861	-0,36461	-0,303218	-0,374213	-0,351177	-0,359861	-0,257927	-0,358448	-0,3589	-0,408132	-0,390878	-0,32839	-0,398057
259,1	-0,488752	-0,392031	-0,361055	-0,381083	-0,309634	-0,309083	-0,378753	-0,303151	-0,273429	-0,339611	-0,33306	-0,233092	-0,276942	-0,425851	-0,29443	-0,37003	-0,220738	-0,226796	-0,364729	-0,225295	-0,244793	-0,280331	-0,32864	-0,384247	-0,248125	-0,330393	-0,321511	-0,225482	-0,215918	-0,244419	-0,368531	-0,424004	-0,358245	-0,264479	-0,375843	-0,341281	-0,352333	-0,27125	-0,386089	-0,339148	-0,419939	-0,377847	-0,324615	-0,366328
259	-0,498093	-0,420423	-0,354102	-0,38489	-0,327209	-0,335995	-0,366352	-0,280903	-0,285382	-0,308397	-0,345059	-0,278024	-0,267463	-0,401209	-0,330181	-0,383771	-0,18604	-0,274618	-0,360599	-0,257933	-0,227984	-0,235222	-0,355437	-0,400075	-0,245002	-0,295231	-0,321247	-0,21059	-0,223378	-0,248682	-0,365758	-0,438531	-0,331581	-0,294689	-0,346215	-0,347186	-0,365314	-0,280486	-0,389844	-0,335997	-0,381569	-0,326409	-0,318995	-0,36267
258,9	-0,495994	-0,448332	-0,350815	-0,392733	-0,352935	-0,346868	-0,417948	-0,293687	-0,272542	-0,301313	-0,342302	-0,261351	-0,220587	-0,382849	-0,362602	-0,38668	-0,261887	-0,24669	-0,341302	-0,296508	-0,203728	-0,264258	-0,344092	-0,429923	-0,201884	-0,334799	-0,36096	-0,220774	-0,20329	-0,282787	-0,340338	-0,426543	-0,274792	-0,250793	-0,326289	-0,361604	-0,368294	-0,24822	-0,427625	-0,302474	-0,382153	-0,339819	-0,307232	-0,352612
258,8	-0,47789	-0,434405	-0,368493	-0,438443	-0,332633	-0,327779	-0,367306	-0,299218	-0,256061	-0,295441	-0,349049	-0,251264	-0,247693	-0,367881	-0,362169	-0,348565	-0,301083	-0,259738	-0,326198	-0,285202	-0,15336	-0,289211	-0,36141	-0,452051	-0,185302	-0,290426	-0,379412	-0,227067	-0,216911	-0,261054	-0,334737	-0,379338	-0,228423	-0,202289	-0,308656	-0,374268	-0,394577	-0,23746	-0,450215	-0,283352	-0,351577	-0,33661	-0,405264	-0,378627
258,7	-0,470104	-0,432923	-0,404541	-0,416777	-0,353478	-0,293079	-0,345469	-0,313503	-0,273986	-0,273474	-0,380766	-0,240804	-0,222268	-0,376188	-0,388487	-0,336612	-0,331891	-0,282077	-0,361075	-0,313667	-0,180841	-0,335488	-0,391675	-0,433601	-0,212791	-0,270212	-0,395092	-0,247724	-0,216667	-0,257192	-0,32731	-0,397436	-0,218713	-0,200192	-0,305102	-0,331227	-0,382797	-0,261694	-0,404183	-0,268372	-0,335267	-0,296993	-0,420395	-0,385091
258,6	-0,465631	-0,390722	-0,391394	-0,351125	-0,390903	-0,271452	-0,350321	-0,301735	-0,270863	-0,216129	-0,399758	-0,292667	-0,2125	-0,364453	-0,40749	-0,360628	-0,333306	-0,266195	-0,353716	-0,352384	-0,179471	-0,403299	-0,39684	-0,4012	-0,192418	-0,306986	-0,404531	-0,204651	-0,258147	-0,269077	-0,369174	-0,359077	-0,208015	-0,223129	-0,306292	-0,321926	-0,387664	-0,279167	-0,418775	-0,316303	-0,309925	-0,290948	-0,36714	-0,312822
258,5	-0,505068	-0,390489	-0,314475	-0,364262	-0,355343	-0,271085	-0,334068	-0,2842	-0,280037	-0,195365	-0,395673	-0,32354	-0,231596	-0,346705	-0,405025	-0,381234	-0,294628	-0,292905	-0,329165	-0,38729	-0,220563	-0,40677	-0,390165	-0,376075	-0,254466	-0,326765	-0,424038	-0,177269	-0,292199	-0,278327	-0,355174	-0,337468	-0,188736	-0,22055	-0,26378	-0,316403	-0,413354	-0,274733	-0,409789	-0,323252	-0,288073	-0,272059	-0,387953	-0,355108
258,4	-0,508854	-0,39976	-0,343162	-0,406519	-0,316508	-0,257427	-0,309579	-0,263815	-0,252191	-0,172628	-0,440581	-0,294697	-0,275146	-0,29602	-0,427188	-0,346035	-0,30761	-0,303183	-0,277689	-0,366037	-0,27083	-0,367129	-0,376961	-0,383651	-0,249455	-0,361273	-0,475354	-0,213859	-0,281097	-0,280583	-0,337126	-0,283359	-0,187451	-0,225945	-0,25046	-0,341641	-0,375398	-0,312931	-0,408912	-0,341932	-0,310943	-0,238095	-0,400574	-0,362785
258,3	-0,516575	-0,401649	-0,324277	-0,37516	-0,319999	-0,259209	-0,274414	-0,236328	-0,25887	-0,18519	-0,433709	-0,319187	-0,329618	-0,245436	-0,42248	-0,361063	-0,296278	-0,329291	-0,279464	-0,330294	-0,351272	-0,38035	-0,384649	-0,380002	-0,230767	-0,334114	-0,443442	-0,201719	-0,269966	-0,31324	-0,307581	-0,294093	-0,240252	-0,237964	-0,246722	-0,363417	-0,405927	-0,349873	-0,364347	-0,309898	-0,287329	-0,187665	-0,366351	-0,373836
258,2	-0,493203	-0,430138	-0,354054	-0,360101	-0,279279	-0,228845	-0,285177	-0,232849	-0,274382	-0,2171	-0,423482	-0,280261	-0,34966	-0,282386	-0,390661	-0,329737	-0,363559	-0,33144	-0,273268	-0,313924	-0,395246	-0,411312	-0,318059	-0,376586	-0,21657	-0,347724	-0,415174	-0,213442	-0,256463	-0,286336	-0,3004	-0,267672	-0,280506	-0,188752	-0,311499	-0,322076	-0,399419	-0,393354	-0,381374	-0,295102	-0,318245	-0,253644	-0,372493	-0,388375
258,1	-0,485203	-0,441067	-0,287667	-0,345331	-0,255381	-0,229363	-0,240152	-0,263951	-0,268664	-0,253798	-0,370141	-0,264891	-0,313084	-0,302195	-0,332464	-0,353563	-0,370586	-0,357349	-0,257966	-0,340915	-0,385074	-0,395518	-0,345388	-0,416097	-0,264465	-0,338952	-0,397488	-0,230895	-0,267834	-0,23468	-0,294219	-0,263928	-0,330968	-0,236403	-0,316068	-0,288693	-0,389382	-0,461742	-0,370044	-0,325444	-0,242869	-0,250698	-0,431543	-0,36863
258	-0,461385	-0,440158	-0,32921	-0,321465	-0,241825	-0,242097	-0,227009	-0,281014	-0,246078	-0,20157	-0,337438	-0,292886	-0,317284	-0,301705	-0,354836	-0,357995	-0,313609	-0,359375	-0,226109	-0,39802	-0,411519	-0,405075	-0,327406	-0,375385	-0,245014	-0,349064	-0,397287	-0,211983	-0,290572	-0,19414	-0,244911	-0,269138	-0,332112	-0,230283	-0,284004	-0,250591	-0,347619	-0,468135	-0,33311	-0,301715	-0,235039	-0,211745	-0,400844	-0,380686
257,9	-0,457778	-0,43249	-0,299803	-0,348172	-0,285137	-0,223612	-0,23012	-0,267576	-0,244143	-0,214501	-0,317203	-0,310827	-0,347157	-0,29584	-0,297611	-0,329696	-0,323667	-0,351373	-0,232506	-0,414538	-0,431988	-0,374842	-0,293879	-0,320853	-0,237631	-0,379298	-0,382311	-0,219497	-0,303587	-0,258744	-0,181358	-0,22629	-0,353992	-0,287345	-0,280003	-0,249546	-0,317473	-0,424791	-0,343006	-0,296971	-0,203798	-0,212937	-0,353538	-0,381327
257,8	-0,404751	-0,440605	-0,317636	-0,371335	-0,236671	-0,253805	-0,203184	-0,302945	-0,262052	-0,168489	-0,351446	-0,299464	-0,321609	-0,301496	-0,275856	-0,346414	-0,306311	-0,366587	-0,209827	-0,400421	-0,41877	-0,31598	-0,265142	-0,321926	-0,256541	-0,386862	-0,370242	-0,293315	-0,307344	-0,252131	-0,199298	-0,219411	-0,360505	-0,267055	-0,274593	-0,207504	-0,326139	-0,461238	-0,337607	-0,281984	-0,230522	-0,155981	-0,368739	-0,415335
